korean,sejong_level,unit,page
여러분,1A,7,32
윷놀이,1A,7,32
고향,1A,7,33
공항,1A,7,33
도착하다,1A,7,33
많다,1A,7,33
가을,1A,8,23
겨울,1A,8,23
계절,1A,8,23
날씨,1A,8,23
눈,1A,8,23
덥다,1A,8,23
따뜻하다,1A,8,23
맑다,1A,8,23
바람,1A,8,23
봄,1A,8,23
불다,1A,8,23
비,1A,8,23
사계절,1A,8,23
서울,1A,8,23
시원하다,1A,8,23
쌀쌀하다,1A,8,23
어떻다,1A,8,23
여름,1A,8,23
이번,1A,8,23
춥다,1A,8,23
흐리다,1A,8,23
가볍다,1A,8,24
거기,1A,8,24
그런데,1A,8,24
도시,1A,8,24
딸기,1A,8,24
많이,1A,8,24
맵다,1A,8,24
모스크바,1A,8,24
무겁다,1A,8,24
바쁘다,1A,8,24
부산,1A,8,24
쉽다,1A,8,24
시드니,1A,8,24
아주,1A,8,24
어렵다,1A,8,24
요즘,1A,8,24
자주,1A,8,24
잘,1A,8,24
좀,1A,8,24
좋다,1A,8,24
지내다,1A,8,24
하노이,1A,8,24
그렇지만,1A,8,25
단풍,1A,8,25
바다,1A,8,25
아름답다,1A,8,25
예쁘다,1A,8,25
자카르타,1A,8,25
제주도,1A,8,25
한라산,1A,8,25
메시지,1A,8,35
보내다,1A,8,35
재미있다,1A,8,35
준비하다,1A,8,36
구경하다,1A,9,26
기분,1A,9,26
놀다,1A,9,26
놀이공원,1A,9,26
만들다,1A,9,26
미용실,1A,9,26
박물관,1A,9,26
산책하다,1A,9,26
수영장,1A,9,26
쉬다,1A,9,26
어제,1A,9,26
우리,1A,9,26
자전거,1A,9,26
청소하다,1A,9,26
활동,1A,9,26
휴가,1A,9,39
옛날,1A,9,40
떡볶이,1A,9,41
빨래,1A,9,41
오전,1A,9,41
경기,1A,10,27
농구,1A,10,27
다르다,1A,10,27
등산,1A,10,27
반,1A,10,27
방학,1A,10,27
비빔밥,1A,10,27
시간,1A,10,27
약속,1A,10,27
운동화,1A,10,27
음료수,1A,10,27
음식,1A,10,27
축구,1A,10,27
콘서트,1A,10,27
특별하다,1A,10,27
하다,1A,10,27
한강,1A,10,27
걷다,1A,10,28
낚시,1A,10,28
내용,1A,10,28
다,1A,10,28
다음,1A,10,28
메모,1A,10,28
쇼핑몰,1A,10,28
주,1A,10,28
케이팝,1A,10,28
태권도,1A,10,28
잠,1A,10,43
택시,1A,10,43
경기장,1A,10,44
운동장,1A,10,44
끝나다,1A,10,45
안녕하세요,1A,1,35
